YEAR,SITE,SUBSITE,Unique_Site,CaMPClass1,CaMPClass2,NUTRIENTS_UNCODED_V2,NUTRIENTS_UNCODED_V3,PRIM_CLASS,PRIM_FORM,SEC_CLASS_1,SEC_CLASS_2,SEC_CLASS_3,PERMAFROST,PROV,LATN,Mins,LAT_deg,LAT_Min_round,LONGW,Mins,LONG_deg,LONG_Min_round,ECPROV_UNCODED,ECREGION_UNCODED,WETREGION_UNCODED,PEATDEPTH,IS_PEATDEPTH_EXTENDED,PFUPPER,PFLOWER,IS_PFLOWER_EXTENDED,WTDEPTH,WETTYPE,WETTYPE_UNCODED,NOTES
1970,9,,1970-9,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Treed (coniferous),Not determined,Not determined,#N/A,Saskatchewan,54.72,43.2,54,43,102.07,4.2,102,4,Boreal,Subhumid High Boreal ,Continental High Boreal,328,N,36,201,N,N/D,1,Bog,bS-Ledum
1971,1,,1971-1,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,65.62,37.2,65,37,129.27,16.2,129,16,Subarctic,High Subarctic,Low Subarctic,130,N,11,150,Y,N/D,N/D,N/D,bS-Lichen
1971,10,A,1971-10-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,66.3,18,66,18,128.42,25.2,128,25,Subarctic,Low Subarctic,High Subarctic,208,N,15,208,Y,N/D,N/D,N/D,bS-Lichen
1971,10,B,1971-10-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Open or treeless,Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,66.3,18,66,18,128.42,25.2,128,25,Subarctic,Low Subarctic,High Subarctic,142,N,25,145,Y,N/D,N/D,N/D,Ledum-Lichen
1971,10,C,1971-10-C,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Open or treeless,Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,66.3,18,66,18,128.42,25.2,128,25,Subarctic,Low Subarctic,High Subarctic,104,N,23,108,Y,N/D,N/D,N/D,Ledum-Lichen
1971,11,A,1971-11-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Polygonal peat plateau ,Treed (coniferous),"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.62,37.2,67,37,133.25,15,133,15,Subarctic,High Subarctic,High Subarctic,348,N,25,350,Y,N/D,N/D,N/D,Shoulder; bS-Sphag
1971,11,B,1971-11-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Polygonal peat plateau ,Treed (coniferous),Center ,Not determined,#N/A,Northwest Territories ,67.62,37.2,67,37,133.25,15,133,15,Subarctic,High Subarctic,High Subarctic,315,N,24,318,Y,N/D,N/D,N/D,Centre; bS-Sphag
1971,12,,1971-12,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,67.62,37.2,67,37,133.25,15,133,15,Subarctic,High Subarctic,High Subarctic,353,N,28,356,Y,N/D,N/D,N/D,bS-Lichen
1971,13,A,1971-13-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,67.62,37.2,67,37,133.25,15,133,15,Subarctic,High Subarctic,High Subarctic,356,N,25,360,Y,N/D,N/D,N/D,bS-Lichen
1971,13,B,1971-13-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,67.62,37.2,67,37,133.25,15,133,15,Subarctic,High Subarctic,High Subarctic,105,Y,78,105,Y,N/D,N/D,N/D,Larch-eric
1971,14,,1971-14,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,67.53,31.8,67,32,134.2,12,134,12,Subarctic,High Subarctic,High Subarctic,199,N,20,201,Y,N/D,N/D,N/D,bS-Hyloc
1971,15,A,1971-15-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,196,N,25,203,Y,N/D,N/D,N/D,Shoulder; Lichen
1971,15,B,1971-15-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,87,N,33,148,Y,N/D,N/D,N/D,Trough; Sphag
1971,15,C,1971-15-C,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,109,N,28,155,Y,N/D,N/D,N/D,Trough; Lichen
1971,15,D,1971-15-D,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Polygonal peat plateau ,Open or treeless,Center ,Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,183,N,25,185,Y,N/D,N/D,N/D,Centre; Lichen
1971,16,A,1971-16-A,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,338,N,28,340,Y,N/D,N/D,N/D,Shoulder; Lichen
1971,16,B,1971-16-B,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,195,Y,25,195,Y,N/D,N/D,N/D,Shoulder; Lichen
1971,16,C,1971-16-C,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,Center ,Not determined,#N/A,Northwest Territories ,67.65,39,67,39,133.67,40.2,133,40,Subarctic,High Subarctic,High Subarctic,76,Y,40,76,Y,N/D,N/D,N/D,Centre; Lichen-Sphag
1971,17,,1971-17,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Fen,Drainage,Shrub,Not determined,Not determined,#N/A,Northwest Territories ,67.45,27,67,27,133.78,46.8,133,47,Subarctic,High Subarctic,Low Subarctic,66,N,30,70,Y,N/D,N/D,N/D,Betula-Salix
1971,18,A,1971-18-A,#N/A,#N/A,Very poor fen ,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,67.45,27,67,27,133.78,46.8,133,47,Subarctic,High Subarctic,Low Subarctic,142,N,25,150,Y,N/D,N/D,N/D,Ledum-Lichen
1971,18,B,1971-18-B,#N/A,#N/A,Very poor fen ,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,67.45,27,67,27,133.78,46.8,133,47,Subarctic,High Subarctic,Low Subarctic,193,N,25,195,Y,N/D,N/D,N/D,Ledum-Sphag
1971,19,A,1971-19-A,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.77,46.2,67,46,131.93,55.8,131,56,Subarctic,High Subarctic,High Subarctic,180,N,33,182,Y,N/D,N/D,N/D,Shoulder; Betula-Lichen
1971,19,B,1971-19-B,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,Center ,Not determined,#N/A,Northwest Territories ,67.77,46.2,67,46,131.93,55.8,131,56,Subarctic,High Subarctic,High Subarctic,196,N,36,200,Y,N/D,N/D,N/D,Certre; Lichen-Sphag
1971,2,A,1971-2-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,65.62,37.2,65,37,129.25,15,129,15,Subarctic,High Subarctic,Low Subarctic,337,N,22,337,Y,N/D,N/D,N/D,bS-Lichen
1971,2,B,1971-2-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,65.62,37.2,65,37,129.25,15,129,15,Subarctic,High Subarctic,Low Subarctic,264,N,20,272,Y,N/D,N/D,N/D,bS-Sphagnum
1971,2,C,1971-2-C,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,65.62,37.2,65,37,129.25,15,129,15,Subarctic,High Subarctic,Low Subarctic,334,N,N/D,N/D,N/D,N/D,N/D,N/D,
1971,20,,1971-20,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Shrub,Mound,Not determined,#N/A,Northwest Territories ,67.77,46.2,67,46,131.93,55.8,131,56,Subarctic,High Subarctic,High Subarctic,114,N,38,116,Y,N/D,N/D,N/D,Salix-Lichen
1971,21,,1971-21,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,Center ,Not determined,#N/A,Northwest Territories ,67.68,40.8,67,41,132.08,4.8,132,5,Subarctic,High Subarctic,High Subarctic,214,N,48,305,Y,N/D,N/D,N/D,Lichen
1971,22,A,1971-22-A,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.68,40.8,67,41,132.08,4.8,132,5,Subarctic,High Subarctic,High Subarctic,84,N,23,211,Y,N/D,N/D,N/D,Trough; Sphag
1971,22,B,1971-22-B,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.68,40.8,67,41,132.08,4.8,132,5,Subarctic,High Subarctic,High Subarctic,130,N,41,302,Y,N/D,N/D,N/D,Shoulder; Sphag-Lichen
1971,22,C,1971-22-C,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,Center ,Not determined,#N/A,Northwest Territories ,67.68,40.8,67,41,132.08,4.8,132,5,Subarctic,High Subarctic,High Subarctic,115,N,40,160,Y,N/D,N/D,N/D,Centre; Lichen
1971,23,A,1971-23-A,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,323,N,30,325,Y,N/D,N/D,N/D,bS-Lichen
1971,23,B,1971-23-B,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Palsa,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,259,N,56,68,N,N/D,N/D,N/D,Sedge
1971,24,A,1971-24-A,#N/A,#N/A,Poor fen ,Dystrophic,Bog,Peat plateau,Open or treeless,Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,305,N,33,310,Y,N/D,N/D,N/D,Ledum-Lichen
1971,24,B,1971-24-B,#N/A,#N/A,Poor fen ,Dystrophic,Fen,Horizontal,Open or treeless,Not determined,Not determined,#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,142,Y,125,142,Y,N/D,N/D,N/D,Sedge-moss
1971,25,A,1971-25-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Palsa,Grassy,Mound,Not determined,#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,107,N,28,117,Y,N/D,N/D,N/D,Sedge-moss
1971,25,B,1971-25-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Fen,Horizontal,Open or treeless,Not determined,Not determined,#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,188,N,N/D,N/D,N/D,N/D,N/D,N/D,Sedge-moss
1971,26,A,1971-26-A,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,282,N,18,185,Y,N/D,N/D,N/D,bS-Lichen
1971,26,B,1971-26-B,#N/A,#N/A,Moderately rich fen ,Mesotrophic,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,67.1,6,67,6,134.28,16.8,134,17,Subarctic,High Subarctic,Low Subarctic,178,N,33,180,Y,N/D,N/D,N/D,bS-Lichen
1971,27,A,1971-27-A,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.27,16.2,67,16,135.52,31.2,135,31,Subarctic,High Subarctic,North Rocky Mountain ,236,N,25,240,Y,N/D,N/D,N/D,Shoulder; Lichen
1971,27,B,1971-27-B,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,"Edge, margin, or rim",Not determined,#N/A,Northwest Territories ,67.27,16.2,67,16,135.52,31.2,135,31,Subarctic,High Subarctic,North Rocky Mountain ,74,N,20,77,Y,N/D,N/D,N/D,Trough; Sphag
1971,27,C,1971-27-C,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Polygonal peat plateau ,Open or treeless,Center ,Not determined,#N/A,Northwest Territories ,67.27,16.2,67,16,135.52,31.2,135,31,Subarctic,High Subarctic,North Rocky Mountain ,193,N,28,195,Y,N/D,N/D,N/D,Centre; Lichen
1971,28,A,1971-28-A,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,66.77,46.2,66,46,133.73,43.8,133,44,Subarctic,High Subarctic,Low Subarctic,183,N,15,216,Y,N/D,N/D,N/D,Eric-Lichen
1971,28,B,1971-28-B,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,66.77,46.2,66,46,133.73,43.8,133,44,Subarctic,High Subarctic,Low Subarctic,206,N,35,219,Y,N/D,N/D,N/D,Eric-Lichen
1971,28,C,1971-28-C,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,66.77,46.2,66,46,133.73,43.8,133,44,Subarctic,High Subarctic,Low Subarctic,198,N,41,200,Y,N/D,N/D,N/D,bS-Lichen
1971,28,D,1971-28-D,#N/A,#N/A,Very poor bog,Oligotrophic ,Fen,Horizontal,Open or treeless,Not determined,Not determined,#N/A,Northwest Territories ,66.77,46.2,66,46,133.73,43.8,133,44,Subarctic,High Subarctic,Low Subarctic,287,N,N/D,N/D,N/D,N/D,N/D,N/D,
1971,29,,1971-29,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,66.77,46.2,66,46,133.73,43.8,133,44,Subarctic,High Subarctic,Low Subarctic,213,N,25,215,Y,N/D,N/D,N/D,bS-Lichen
1971,3,,1971-3,#N/A,#N/A,Very poor fen ,Oligotrophic ,Bog,Palsa,Treed (coniferous),Mound,Center ,#N/A,Northwest Territories ,64.63,37.8,64,38,128.92,55.2,128,55,Subarctic Cordilleran ,Complex Alpine and Subalpine Northern Subarctic Cordilleran ,Low Subarctic,270,N,28,346,Y,N/D,N/D,N/D,bS-Lichen
1971,30,,1971-30,#N/A,#N/A,Very poor fen ,Oligotrophic ,Bog,Palsa,Open or treeless,Mound,Center ,#N/A,Northwest Territories ,66.77,46.2,66,46,133.73,43.8,133,44,Subarctic,High Subarctic,Low Subarctic,307,N,68,310,Y,N/D,N/D,N/D,Ledum-Lichen
1971,31,A,1971-31-A,#N/A,#N/A,Very poor bog,Oligotrophic ,Bog,Peat plateau,Open or treeless,Mound,"Edge, margin, or rim",#N/A,Northwest Territories ,66.67,40.2,66,40,132.7,42,132,42,Subarctic,High Subarctic,Low Subarctic,204,N,28,231,Y,N/D,N/D,N/D,Ledum-Lichen
