			UNIQUE_SIT						MaxDepth			CaMPClass1	CaMPClass2	lat	long	field_18	ZONE	AREA(SQR_K	REF	ECOZONE
			1984-27						238											
			1984-28						282											
			1984-29-A						247											
			1984-29-A						230											
			1984-29-B						150											
			1984-3						120											
			1984-3						207											
			1984-30						136											
			1984-31						247											
			1984-32						289											
			1984-32						289											
			1984-33						236											
			1984-34						285											
			1984-35						179											
			1984-35						175											
			1984-36-A						356											
			1984-36-B						325											
			1984-36-B						302											
			1984-37						253											
			1984-38						61											
			1984-39						221											
			1984-4-A						208											
			1984-40						392											
			1984-41-A						136											
			1984-41-A						262											
			1984-41-A						136											
			1984-41-B						119											
			1984-42						246											
			1984-43-A						396											
			1984-43-B						336											
			1984-43-B						336											
			1984-43-C						284											
			1984-44						566											
			1984-45						666											
			1984-46						397											
			1984-47						201											
			1984-48-A						166											
			1984-48-B						133											
			1984-48-B						143											
			1984-49						243											
			1984-5						78											
			1984-50						388											
			1984-51						571											
			1984-52						463											
			1984-53						313											
			1984-53						115											
			1984-54						385											
			1984-55						206											
			1984-56						256											
			1984-57						174											
			1984-58-A						372											
			1984-58-B						171											
			1984-59						171											
			1984-6						183											
			1984-60						116											
			1984-61						700											
			1984-61						706											
			1984-62						178											
			1984-63						398											
			1984-63						240											
			1984-64						284											
			1984-65						166											
			1984-66-A						268											
			1984-66-B						242											
			1984-66-B						242											
			1984-67						206											
			1984-68						103											
			1984-69						183											
			1984-7						250											
			1984-7						250											
			1984-70						228											
			1984-71						154											
			1984-72						449											
			1984-72						170											
			1984-72						270											
			1984-73						323											
			1984-74						232											
			1984-75-A						373											
			1984-75-B						330											
			1984-75-B						330											
			1984-76						441											
			1984-8						374											
			1984-8						374											
			1984-9						431											
			1989-1						251											
			1989-10-A						162											
			1989-10-B						110											
			1989-11-A						249											
			1989-11-A						249											
			1989-11-B						261											
			1989-13-A						116											
			1989-13-B						242											
			1989-14-A						391											
			1989-14-B						402											
			1989-15						73											
			1989-16-A						312											
			1989-16-B						278											
			1989-17-A						314											
			1989-17-B						273											
			1989-18-A						235											
			1989-19-A						215											
			1989-19-B						240											
			1989-3						143											
			1989-4						176											
			1989-5						112											
			1989-6						280											
			1989-8						282											
			1989-9						261											
			1989-9						36											
