ID,X,Y,YEAR,SITE,UID,NUTRIENTS,PRIM_CLASS,SEC_CLASS,PROV,Ecozone,LATN,LONGW,ECPROV,ECREGION,WETREGION,PEATDEPTH,WTDEPTH,WETTYPE,CWFIS_date,YEAR,MONTH,DAY,SampleDate,Card_Date_Notes,stackID,out_dc,dc_class,ECOPROV
182,-26814.83722,44529.24484,1983,12,Dec-83,1,domed,margin,MB,,49.4,-95.37,BO,LBst,BL,370,-28,bog,dc830623,83,06,23,1983-06-23,,627,143,1,Lake of the Woods
171,-28968.03661,47873.57567,1983,5,May-83,1,domed,shrub,MB,,49.43,-95.4,BO,LBst,BL,146,-22,bog,dc830618,83,06,18,1983-06-18,,622,167,1,Lake of the Woods
201,-81975.8074,120613.1372,1983,23,1983-23,1,domed,shrub,MB,,50.08,-96.15,BO,LBs,BMc,137,-70,bog,dc830711,83,07,11,1983-07-11,,645,215,2,Lake of the Woods
170,-28968.03661,47873.57567,1983,5,May-83,1,domed,treed_conif,MB,,49.43,-95.4,BO,LBst,BL,215,-21,bog,dc830618,83,06,18,1983-06-18,,622,167,1,Lake of the Woods
172,-28968.03661,47873.57567,1983,5,May-83,1,domed,treed_conif,MB,,49.43,-95.4,BO,LBst,BL,222,-60,bog,dc830618,83,06,18,1983-06-18,,622,167,1,Lake of the Woods
200,-81975.8074,120613.1372,1983,23,1983-23,1,domed,treed_conif,MB,,50.08,-96.15,BO,LBs,BMc,202,-48,bog,dc830711,83,07,11,1983-07-11,,645,215,2,Lake of the Woods
209,-85706.77212,111816.8722,1983,28,1983-28,1,domed,treed_conif,MB,,50,-96.2,BO,LBs,BMc,233,-65,bog,dc830714,83,07,14,1983-07-14,,648,237,2,Lake of the Woods
169,-36349.60393,30154.58543,1983,4,Apr-83,1,flat,treed_conif,MB,,49.27,-95.5,BO,LBst,BL,212,-25,bog,dc830617,83,06,17,1983-06-17,,621,169,1,Lake of the Woods
202,-64124.98636,122541.2707,1983,24,1983-24,1,flat,treed_conif,MB,,50.1,-95.9,BO,LBst,BL,230,-50,bog,dc830711,83,07,11,1983-07-11,,645,216,2,Lake of the Woods
195,-39217.04761,118933.7842,1983,19,1983-19,1,northern plateau,treed_conif,MB,,50.07,-95.55,BO,LBst,BL,245,-34,bog,dc830628,83,06,28,1983-06-28,,632,176,1,Lake of the Woods
179,-21521.98998,91106.80728,1983,11,Nov-83,3,basin_bog,treed_conif,MB,,49.82,-95.3,BO,MBs,BL,505,-18,bog,dc830622,83,06,22,1983-06-22,,626,137,1,Lake of the Woods
213,-46052.97564,147790.6418,1983,31,1983-31,6,basin_bog,margin,MB,,50.33,-95.65,BO,LBst,BL,165,-66,bog,dc830716,83,07,16,1983-07-16,,650,265,2,Lake of the Woods
226,-72884.72703,153679.2864,1983,41,1983-41,6,basin_bog,treed_conif,MB,,50.38,-96.03,BO,LBst,BMc,121,-39,bog,dc830721,83,07,21,1983-07-21,,655,315,3,Lake of the Woods
28,-1339031.122,1143981.008,1981,13,1981-13,,basin_bog,treed_conif,AB,,57.17,-118.18,CD,SCb,BMc,56,-30,bog,dc810623,81,06,23,1981-06-23,,265,271,2,Boreal Foothills
37,-1245206.119,851858.3059,1981,19,1981-19,1,basin_bog,open,AB,,54.93,-115.13,CD,SCb,BHc,144,-3,bog,dc810628,81,06,28,1981-06-28,,270,229,2,Boreal Foothills
